full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
RishabhK103/claude-code,1,1,7872,1,1,7872,https://github.com/RishabhK103/claude-code
Donchitos/Claude-Code-Game-Studios,7754,7754,1150,45,45,13,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8323,8323,606,4,4,0,https://github.com/frankbria/ralph-claude-code
codeaashu/claude-code,292,292,550,136,136,266,https://github.com/codeaashu/claude-code
ykdojo/claude-code-tips,7020,7020,489,11,11,4,https://github.com/ykdojo/claude-code-tips
beita6969/claude-code,199,199,483,15,15,28,https://github.com/beita6969/claude-code
hangsman/claude-code-source,551,551,1388,31,31,92,https://github.com/hangsman/claude-code-source
ChrisWiles/claude-code-showcase,5661,5661,500,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3763,3763,553,2,2,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,820,820,1563,5,5,5,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3341,3341,445,2,2,2,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26146,26146,10043,20,20,43,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3452,3452,588,1,1,1,https://github.com/disler/claude-code-hooks-mastery
sickn33/antigravity-awesome-skills,29675,29675,4952,98,98,19,https://github.com/sickn33/antigravity-awesome-skills
zebbern/claude-code-guide,3779,3779,354,3,3,-1,https://github.com/zebbern/claude-code-guide
anthropics/skills,108129,108129,12029,277,277,35,https://github.com/anthropics/skills
LING71671/Open-ClaudeCode,178,178,257,31,31,38,https://github.com/LING71671/Open-ClaudeCode
777genius/claude-code-source-code,708,708,1030,306,306,426,https://github.com/777genius/claude-code-source-code
kodu-ai/claude-coder,5285,5285,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7261,7261,354,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2319,2319,388,4,4,2,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2309,2309,324,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
huangserva/claude-code-cli,311,311,775,53,53,132,https://github.com/huangserva/claude-code-cli
anthropics/claude-code-security-review,4101,4101,350,9,9,3,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2303,2303,305,3,3,0,https://github.com/RichardAtCT/claude-code-telegram
VineeTagarwaL-code/claude-code,217,217,220,19,19,21,https://github.com/VineeTagarwaL-code/claude-code
FlorianBruniaux/claude-code-ultimate-guide,2671,2671,386,11,11,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2548,2548,275,1,1,1,https://github.com/Cranot/claude-code-guide
zstmfhy/Claude-code,137,137,234,11,11,8,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-base-action,757,757,595,0,0,4,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2250,2250,256,11,11,3,https://github.com/ding113/claude-code-hub
router-for-me/CLIProxyAPI,21927,21927,3613,116,116,23,https://github.com/router-for-me/CLIProxyAPI
freestylefly/claude-code,103,103,237,6,6,15,https://github.com/freestylefly/claude-code
https-deeplearning-ai/sc-claude-code-files,470,470,640,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,129554,129554,10651,747,747,88,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1377,1377,282,2,2,0,https://github.com/edmund-io/edmunds-claude-code
eyaltoledano/claude-task-master,26343,26343,2468,3,3,-1,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,5120,5120,422,58,58,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Pimzino/claude-code-spec-workflow,3600,3600,252,3,3,0,https://github.com/Pimzino/claude-code-spec-workflow
leaked-claude-code/leaked-claude-code,334,334,499,90,90,132,https://github.com/leaked-claude-code/leaked-claude-code
wshobson/agents,32721,32721,3571,34,34,3,https://github.com/wshobson/agents
anthropics/claude-plugins-official,15648,15648,1714,32,32,6,https://github.com/anthropics/claude-plugins-official
snarktank/ralph,14188,14188,1445,23,23,2,https://github.com/snarktank/ralph
alex000kim/claude-code,118,118,187,27,27,30,https://github.com/alex000kim/claude-code
zhukunpenglinyutong/idea-claude-code-gui,2299,2299,266,14,14,2,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
ghuntley/claude-code-source-code-deobfuscation,946,946,548,3,3,9,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,2017,2017,186,7,7,2,https://github.com/bfly123/claude_code_bridge
siteboon/claudecodeui,9272,9272,1200,25,25,8,https://github.com/siteboon/claudecodeui
xorespesp/claude-code,127,127,174,27,27,40,https://github.com/xorespesp/claude-code
Kuberwastaken/claurst,5350,5350,6194,5350,5350,6194,https://github.com/Kuberwastaken/claurst
lintsinghua/claude-code-book,831,831,266,226,226,67,https://github.com/lintsinghua/claude-code-book
lowcortisolprogrammer/claude-code,156,156,146,8,8,9,https://github.com/lowcortisolprogrammer/claude-code
feiskyer/claude-code-settings,1395,1395,208,3,3,1,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1714,1714,265,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,990,990,227,1,1,0,https://github.com/sugyan/claude-code-webui
chauncygu/collection-claude-code-source-code,413,413,633,413,413,633,https://github.com/chauncygu/collection-claude-code-source-code
Alishahryar1/free-claude-code,1336,1336,189,28,28,14,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-skills,8519,8519,1030,55,55,16,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2141,2141,213,3,3,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1509,1509,239,1,1,-1,https://github.com/lst97/claude-code-sub-agents
liuup/claude-code-analysis,355,355,315,355,355,315,https://github.com/liuup/claude-code-analysis
AprilNEA/claude-code-source,219,219,393,28,28,59,https://github.com/AprilNEA/claude-code-source
Yeachan-Heo/oh-my-claudecode,20267,20267,1618,558,558,84,https://github.com/Yeachan-Heo/oh-my-claudecode
darcyegb/ClaudeCodeAgents,637,637,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,16901,16901,1351,61,61,11,https://github.com/slopus/happy
guanshan/ClaudeCode,34,34,165,34,34,165,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,989,989,259,4,4,3,https://github.com/rohitg00/awesome-claude-code-toolkit
mehmoodosman/claude-code,84,84,154,84,84,154,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,137,137,131,10,10,11,https://github.com/fazxes/Claude-code
farion1231/cc-switch,36882,36882,2209,268,268,16,https://github.com/farion1231/cc-switch
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2667,2667,468,43,43,11,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Hyper66666/claude-code-sourcemap,167,167,409,13,13,28,https://github.com/Hyper66666/claude-code-sourcemap
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
catlog22/Claude-Code-Workflow,1655,1655,139,6,6,1,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1373,1373,144,2,2,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1738,1738,132,8,8,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1213,1213,150,1,1,0,https://github.com/steipete/claude-code-mcp
jeremylongshore/claude-code-plugins-plus-skills,1800,1800,242,5,5,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
Njengah/claude-code-cheat-sheet,1509,1509,192,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
