full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Leonxlnx/claude-code-system-prompts,1380,1380,661,296,296,114,https://github.com/Leonxlnx/claude-code-system-prompts
fuergaosi233/claude-code-proxy,2305,2305,324,10,10,1,https://github.com/fuergaosi233/claude-code-proxy
LING71671/Open-ClaudeCode,147,147,219,147,147,219,https://github.com/LING71671/Open-ClaudeCode
anthropics/claude-code-security-review,4092,4092,347,4,4,3,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2300,2300,305,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2660,2660,383,16,16,4,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2547,2547,274,5,5,6,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,757,757,591,14,14,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2239,2239,253,6,6,0,https://github.com/ding113/claude-code-hub
VineeTagarwaL-code/claude-code,198,198,199,40,40,41,https://github.com/VineeTagarwaL-code/claude-code
huangserva/claude-code-cli,258,258,643,258,258,643,https://github.com/huangserva/claude-code-cli
zstmfhy/Claude-code,126,126,226,21,21,38,https://github.com/zstmfhy/Claude-code
router-for-me/CLIProxyAPI,21811,21811,3590,100,100,16,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,470,470,639,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,128807,128807,10563,666,666,81,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
eyaltoledano/claude-task-master,26340,26340,2469,11,11,-1,https://github.com/eyaltoledano/claude-task-master
freestylefly/claude-code,97,97,222,19,19,81,https://github.com/freestylefly/claude-code
Pimzino/claude-code-spec-workflow,3597,3597,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-plugins-official,15616,15616,1708,39,39,10,https://github.com/anthropics/claude-plugins-official
wanshuiyin/Auto-claude-code-research-in-sleep,5062,5062,419,45,45,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32687,32687,3568,21,21,4,https://github.com/wshobson/agents
777genius/claude-code-source-code,402,402,604,402,402,604,https://github.com/777genius/claude-code-source-code
snarktank/ralph,14165,14165,1443,6,6,2,https://github.com/snarktank/ralph
zhukunpenglinyutong/idea-claude-code-gui,2285,2285,264,16,16,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
ghuntley/claude-code-source-code-deobfuscation,943,943,539,19,19,11,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,2010,2010,184,1,1,0,https://github.com/bfly123/claude_code_bridge
siteboon/claudecodeui,9247,9247,1192,32,32,10,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,0,0,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1714,1714,265,3,3,1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,989,989,227,1,1,0,https://github.com/sugyan/claude-code-webui
lowcortisolprogrammer/claude-code,148,148,137,13,13,13,https://github.com/lowcortisolprogrammer/claude-code
centminmod/my-claude-code-setup,2138,2138,213,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1508,1508,240,0,0,1,https://github.com/lst97/claude-code-sub-agents
alirezarezvani/claude-skills,8464,8464,1014,68,68,13,https://github.com/alirezarezvani/claude-skills
darcyegb/ClaudeCodeAgents,636,636,56,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1308,1308,175,17,17,5,https://github.com/Alishahryar1/free-claude-code
alex000kim/claude-code,91,91,157,91,91,157,https://github.com/alex000kim/claude-code
leaked-claude-code/leaked-claude-code,244,244,367,244,244,367,https://github.com/leaked-claude-code/leaked-claude-code
soufianebouaddis/claude-code,93,93,153,93,93,153,https://github.com/soufianebouaddis/claude-code
slopus/happy,16840,16840,1340,36,36,3,https://github.com/slopus/happy
Yeachan-Heo/oh-my-claudecode,19709,19709,1534,697,697,119,https://github.com/Yeachan-Heo/oh-my-claudecode
rohitg00/awesome-claude-code-toolkit,985,985,256,7,7,3,https://github.com/rohitg00/awesome-claude-code-toolkit
farion1231/cc-switch,36614,36614,2193,255,255,25,https://github.com/farion1231/cc-switch
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2624,2624,457,75,75,26,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
catlog22/Claude-Code-Workflow,1649,1649,138,12,12,1,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1371,1371,144,1,1,0,https://github.com/simonw/claude-code-transcripts
xorespesp/claude-code,100,100,134,100,100,134,https://github.com/xorespesp/claude-code
trailofbits/claude-code-config,1730,1730,132,2,2,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1212,1212,150,0,0,0,https://github.com/steipete/claude-code-mcp
AprilNEA/claude-code-source,191,191,334,191,191,334,https://github.com/AprilNEA/claude-code-source
Hyper66666/claude-code-sourcemap,154,154,381,154,154,381,https://github.com/Hyper66666/claude-code-sourcemap
fazxes/Claude-code,127,127,120,127,127,120,https://github.com/fazxes/Claude-code
lintsinghua/claude-code-book,605,605,199,605,605,199,https://github.com/lintsinghua/claude-code-book
Njengah/claude-code-cheat-sheet,1508,1508,192,0,0,1,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
jeremylongshore/claude-code-plugins-plus-skills,1795,1795,240,11,11,3,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
